GT_string	Paternal	Maternal	A	B	C	D	AB	CD	off	Chromosome_type
1_0_1_0_1_2_2	A	C	1	0	1	0	1	2	2	Z
1_0_1_2_0_0_0	N	C	1	0	1	2	0	0	0	Z
1_0_1_2_0_2_1	N	C	1	0	1	2	0	2	1	Z
1_0_1_2_1_0_0	B	C	1	0	1	2	1	0	0	Z
1_0_1_2_1_0_1	A	C	1	0	1	2	1	0	1	Z
1_0_1_2_1_2_1	B	C	1	0	1	2	1	2	1	Z
1_0_1_2_1_2_2	A	C	1	0	1	2	1	2	2	Z
1_0_2_0_0_2_1	N	C	1	0	2	0	0	2	1	Z
1_0_2_0_1_2_1	B	C	1	0	2	0	1	2	1	Z
1_0_2_0_1_2_2	A	C	1	0	2	0	1	2	2	Z
1_0_2_2_0_2_1	N	C	1	0	2	2	0	2	1	Z
1_0_2_2_1_2_1	B	C	1	0	2	2	1	2	1	Z
1_0_2_2_1_2_2	A	C	1	0	2	2	1	2	2	Z
1_1_0_0_0_0_0	N	C	1	1	0	0	0	0	0	Z
1_1_0_0_1_0_0	N	C	1	1	0	0	1	0	0	Z
1_1_0_0_1_0_1	N	C	1	1	0	0	1	0	1	Z
1_1_0_0_2_0_1	N	C	1	1	0	0	2	0	1	Z
1_1_0_2_0_0_0	N	C	1	1	0	2	0	0	0	Z
1_1_0_2_1_0_0	N	C	1	1	0	2	1	0	0	Z
1_1_0_2_1_0_1	N	C	1	1	0	2	1	0	1	Z
1_1_0_2_2_0_1	N	C	1	1	0	2	2	0	1	Z
1_1_1_0_0_0_0	N	C	1	1	1	0	0	0	0	Z
1_1_1_0_0_2_1	N	C	1	1	1	0	0	2	1	Z
1_1_1_0_1_0_0	N	C	1	1	1	0	1	0	0	Z
1_1_1_0_1_0_1	N	C	1	1	1	0	1	0	1	Z
1_1_1_0_1_2_1	N	C	1	1	1	0	1	2	1	Z
1_1_1_0_1_2_2	N	C	1	1	1	0	1	2	2	Z
1_1_1_0_2_0_1	N	C	1	1	1	0	2	0	1	Z
1_1_1_0_2_2_2	N	C	1	1	1	0	2	2	2	Z
1_1_1_2_0_0_0	N	C	1	1	1	2	0	0	0	Z
1_1_1_2_0_2_1	N	C	1	1	1	2	0	2	1	Z
1_1_1_2_1_0_0	N	C	1	1	1	2	1	0	0	Z
1_1_1_2_1_0_1	N	C	1	1	1	2	1	0	1	Z
1_1_1_2_1_2_1	N	C	1	1	1	2	1	2	1	Z
1_1_1_2_1_2_2	N	C	1	1	1	2	1	2	2	Z
1_1_1_2_2_0_1	N	C	1	1	1	2	2	0	1	Z
1_1_1_2_2_2_2	N	C	1	1	1	2	2	2	2	Z
1_1_2_0_0_2_1	N	C	1	1	2	0	0	2	1	Z
1_1_2_0_1_2_1	N	C	1	1	2	0	1	2	1	Z
1_1_2_0_1_2_2	N	C	1	1	2	0	1	2	2	Z
1_1_2_0_2_2_2	N	C	1	1	2	0	2	2	2	Z
1_1_2_2_0_2_1	N	C	1	1	2	2	0	2	1	Z
1_1_2_2_1_2_1	N	C	1	1	2	2	1	2	1	Z
1_1_2_2_1_2_2	N	C	1	1	2	2	1	2	2	Z
1_1_2_2_2_2_2	N	C	1	1	2	2	2	2	2	Z
1_2_0_0_1_0_0	A	C	1	2	0	0	1	0	0	Z
1_2_0_0_1_0_1	B	C	1	2	0	0	1	0	1	Z
1_2_0_0_2_0_1	N	C	1	2	0	0	2	0	1	Z
1_2_0_2_1_0_0	A	C	1	2	0	2	1	0	0	Z
1_2_0_2_1_0_1	B	C	1	2	0	2	1	0	1	Z
1_2_0_2_2_0_1	N	C	1	2	0	2	2	0	1	Z
1_2_1_0_1_0_0	A	C	1	2	1	0	1	0	0	Z
1_2_1_0_1_0_1	B	C	1	2	1	0	1	0	1	Z
1_2_1_0_1_2_1	A	C	1	2	1	0	1	2	1	Z
1_2_1_0_1_2_2	B	C	1	2	1	0	1	2	2	Z
1_2_1_0_2_0_1	N	C	1	2	1	0	2	0	1	Z
1_2_1_0_2_2_2	N	C	1	2	1	0	2	2	2	Z
1_2_1_2_1_0_0	A	C	1	2	1	2	1	0	0	Z
1_2_1_2_1_0_1	B	C	1	2	1	2	1	0	1	Z
1_2_1_2_1_2_1	A	C	1	2	1	2	1	2	1	Z
1_2_1_2_1_2_2	B	C	1	2	1	2	1	2	2	Z
1_2_1_2_2_0_1	N	C	1	2	1	2	2	0	1	Z
1_2_1_2_2_2_2	N	C	1	2	1	2	2	2	2	Z
1_2_2_0_1_2_1	A	C	1	2	2	0	1	2	1	Z
1_2_2_0_1_2_2	B	C	1	2	2	0	1	2	2	Z
1_2_2_0_2_2_2	N	C	1	2	2	0	2	2	2	Z
1_2_2_2_1_2_1	A	C	1	2	2	2	1	2	1	Z
1_2_2_2_1_2_2	B	C	1	2	2	2	1	2	2	Z
1_2_2_2_2_2_2	N	C	1	2	2	2	2	2	2	Z
2_0_0_0_1_0_0	B	C	2	0	0	0	1	0	0	Z
2_0_0_0_1_0_1	A	C	2	0	0	0	1	0	1	Z
2_0_0_2_1_0_0	B	C	2	0	0	2	1	0	0	Z
2_0_0_2_1_0_1	A	C	2	0	0	2	1	0	1	Z
2_0_1_0_1_0_0	B	C	2	0	1	0	1	0	0	Z
2_0_1_0_1_0_1	A	C	2	0	1	0	1	0	1	Z
2_0_1_0_1_2_1	B	C	2	0	1	0	1	2	1	Z
2_0_1_0_1_2_2	A	C	2	0	1	0	1	2	2	Z
2_0_1_2_1_0_0	B	C	2	0	1	2	1	0	0	Z
2_0_1_2_1_0_1	A	C	2	0	1	2	1	0	1	Z
2_0_1_2_1_2_1	B	C	2	0	1	2	1	2	1	Z
2_0_1_2_1_2_2	A	C	2	0	1	2	1	2	2	Z
2_0_2_0_1_2_1	B	C	2	0	2	0	1	2	1	Z
2_0_2_0_1_2_2	A	C	2	0	2	0	1	2	2	Z
2_0_2_2_1_2_1	B	C	2	0	2	2	1	2	1	Z
2_0_2_2_1_2_2	A	C	2	0	2	2	1	2	2	Z
2_1_0_0_1_0_0	B	C	2	1	0	0	1	0	0	Z
2_1_0_0_1_0_1	A	C	2	1	0	0	1	0	1	Z
2_1_0_0_2_0_1	N	C	2	1	0	0	2	0	1	Z
2_1_0_2_1_0_0	B	C	2	1	0	2	1	0	0	Z
2_1_0_2_1_0_1	A	C	2	1	0	2	1	0	1	Z
2_1_0_2_2_0_1	N	C	2	1	0	2	2	0	1	Z
2_1_1_0_1_0_0	B	C	2	1	1	0	1	0	0	Z
2_1_1_0_1_0_1	A	C	2	1	1	0	1	0	1	Z
2_1_1_0_1_2_1	B	C	2	1	1	0	1	2	1	Z
2_1_1_0_1_2_2	A	C	2	1	1	0	1	2	2	Z
2_1_1_0_2_0_1	N	C	2	1	1	0	2	0	1	Z
2_1_1_0_2_2_2	N	C	2	1	1	0	2	2	2	Z
2_1_1_2_1_0_0	B	C	2	1	1	2	1	0	0	Z
2_1_1_2_1_0_1	A	C	2	1	1	2	1	0	1	Z
2_1_1_2_1_2_1	B	C	2	1	1	2	1	2	1	Z
2_1_1_2_1_2_2	A	C	2	1	1	2	1	2	2	Z
2_1_1_2_2_0_1	N	C	2	1	1	2	2	0	1	Z
2_1_1_2_2_2_2	N	C	2	1	1	2	2	2	2	Z
2_1_2_0_1_2_1	B	C	2	1	2	0	1	2	1	Z
2_1_2_0_1_2_2	A	C	2	1	2	0	1	2	2	Z
2_1_2_0_2_2_2	N	C	2	1	2	0	2	2	2	Z
2_1_2_2_1_2_1	B	C	2	1	2	2	1	2	1	Z
2_1_2_2_1_2_2	A	C	2	1	2	2	1	2	2	Z
2_1_2_2_2_2_2	N	C	2	1	2	2	2	2	2	Z
2_2_0_0_2_0_1	N	C	2	2	0	0	2	0	1	Z
2_2_0_2_2_0_1	N	C	2	2	0	2	2	0	1	Z
2_2_1_0_2_0_1	N	C	2	2	1	0	2	0	1	Z
2_2_1_0_2_2_2	N	C	2	2	1	0	2	2	2	Z
2_2_1_2_2_0_1	N	C	2	2	1	2	2	0	1	Z
2_2_1_2_2_2_2	N	C	2	2	1	2	2	2	2	Z
2_2_2_0_2_2_2	N	C	2	2	2	0	2	2	2	Z
2_2_2_2_2_2_2	N	C	2	2	2	2	2	2	2	Z
0_0_0_0_0_0_0	B	N	0	0	0	0	0	0	0	X
0_0_0_1_0_0_0	B	N	0	0	0	1	0	0	0	X
0_0_0_1_0_1_0	B	C	0	0	0	1	0	1	0	X
0_0_0_1_0_1_1	B	D	0	0	0	1	0	1	1	X
0_0_0_2_0_1_0	B	C	0	0	0	2	0	1	0	X
0_0_0_2_0_1_1	B	D	0	0	0	2	0	1	1	X
0_0_1_0_0_0_0	B	N	0	0	1	0	0	0	0	X
0_0_1_0_0_1_0	B	D	0	0	1	0	0	1	0	X
0_0_1_0_0_1_1	B	C	0	0	1	0	0	1	1	X
0_0_1_1_0_0_0	B	N	0	0	1	1	0	0	0	X
0_0_1_1_0_1_0	B	N	0	0	1	1	0	1	0	X
0_0_1_1_0_1_1	B	N	0	0	1	1	0	1	1	X
0_0_1_1_0_2_1	B	N	0	0	1	1	0	2	1	X
0_0_1_2_0_1_0	B	C	0	0	1	2	0	1	0	X
0_0_1_2_0_1_1	B	D	0	0	1	2	0	1	1	X
0_0_1_2_0_2_1	B	N	0	0	1	2	0	2	1	X
0_0_2_0_0_1_0	B	D	0	0	2	0	0	1	0	X
0_0_2_0_0_1_1	B	C	0	0	2	0	0	1	1	X
0_0_2_1_0_1_0	B	D	0	0	2	1	0	1	0	X
0_0_2_1_0_1_1	B	C	0	0	2	1	0	1	1	X
0_0_2_1_0_2_1	B	N	0	0	2	1	0	2	1	X
0_0_2_2_0_2_1	B	N	0	0	2	2	0	2	1	X
0_1_0_0_0_0_0	B	N	0	1	0	0	0	0	0	X
0_1_0_0_2_0_1	B	N	0	1	0	0	2	0	1	X
0_1_0_1_0_0_0	B	N	0	1	0	1	0	0	0	X
0_1_0_1_0_1_0	B	C	0	1	0	1	0	1	0	X
0_1_0_1_0_1_1	B	D	0	1	0	1	0	1	1	X
0_1_0_1_2_0_1	B	N	0	1	0	1	2	0	1	X
0_1_0_1_2_1_1	B	C	0	1	0	1	2	1	1	X
0_1_0_1_2_1_2	B	D	0	1	0	1	2	1	2	X
0_1_0_2_0_1_0	B	C	0	1	0	2	0	1	0	X
0_1_0_2_0_1_1	B	D	0	1	0	2	0	1	1	X
0_1_0_2_2_1_1	B	C	0	1	0	2	2	1	1	X
0_1_0_2_2_1_2	B	D	0	1	0	2	2	1	2	X
0_1_1_0_0_0_0	B	N	0	1	1	0	0	0	0	X
0_1_1_0_0_1_0	B	D	0	1	1	0	0	1	0	X
0_1_1_0_0_1_1	B	C	0	1	1	0	0	1	1	X
0_1_1_0_2_0_1	B	N	0	1	1	0	2	0	1	X
0_1_1_0_2_1_1	B	D	0	1	1	0	2	1	1	X
0_1_1_0_2_1_2	B	C	0	1	1	0	2	1	2	X
0_1_1_1_0_0_0	B	N	0	1	1	1	0	0	0	X
0_1_1_1_0_1_0	B	N	0	1	1	1	0	1	0	X
0_1_1_1_0_1_1	B	N	0	1	1	1	0	1	1	X
0_1_1_1_0_2_1	B	N	0	1	1	1	0	2	1	X
0_1_1_1_2_0_1	B	N	0	1	1	1	2	0	1	X
0_1_1_1_2_1_1	B	N	0	1	1	1	2	1	1	X
0_1_1_1_2_1_2	B	N	0	1	1	1	2	1	2	X
0_1_1_1_2_2_2	B	N	0	1	1	1	2	2	2	X
0_1_1_2_0_1_0	B	C	0	1	1	2	0	1	0	X
0_1_1_2_0_1_1	B	D	0	1	1	2	0	1	1	X
0_1_1_2_0_2_1	B	N	0	1	1	2	0	2	1	X
0_1_1_2_2_1_1	B	C	0	1	1	2	2	1	1	X
0_1_1_2_2_1_2	B	D	0	1	1	2	2	1	2	X
0_1_1_2_2_2_2	B	N	0	1	1	2	2	2	2	X
0_1_2_0_0_1_0	B	D	0	1	2	0	0	1	0	X
0_1_2_0_0_1_1	B	C	0	1	2	0	0	1	1	X
0_1_2_0_2_1_1	B	D	0	1	2	0	2	1	1	X
0_1_2_0_2_1_2	B	C	0	1	2	0	2	1	2	X
0_1_2_1_0_1_0	B	D	0	1	2	1	0	1	0	X
0_1_2_1_0_1_1	B	C	0	1	2	1	0	1	1	X
0_1_2_1_0_2_1	B	N	0	1	2	1	0	2	1	X
0_1_2_1_2_1_1	B	D	0	1	2	1	2	1	1	X
0_1_2_1_2_1_2	B	C	0	1	2	1	2	1	2	X
0_1_2_1_2_2_2	B	N	0	1	2	1	2	2	2	X
0_1_2_2_0_2_1	B	N	0	1	2	2	0	2	1	X
0_1_2_2_2_2_2	B	N	0	1	2	2	2	2	2	X
0_2_0_0_2_0_1	B	N	0	2	0	0	2	0	1	X
0_2_0_1_2_0_1	B	N	0	2	0	1	2	0	1	X
0_2_0_1_2_1_1	B	C	0	2	0	1	2	1	1	X
0_2_0_1_2_1_2	B	D	0	2	0	1	2	1	2	X
0_2_0_2_2_1_1	B	C	0	2	0	2	2	1	1	X
0_2_0_2_2_1_2	B	D	0	2	0	2	2	1	2	X
0_2_1_0_2_0_1	B	N	0	2	1	0	2	0	1	X
0_2_1_0_2_1_1	B	D	0	2	1	0	2	1	1	X
0_2_1_0_2_1_2	B	C	0	2	1	0	2	1	2	X
0_2_1_1_2_0_1	B	N	0	2	1	1	2	0	1	X
0_2_1_1_2_1_1	B	N	0	2	1	1	2	1	1	X
0_2_1_1_2_1_2	B	N	0	2	1	1	2	1	2	X
0_2_1_1_2_2_2	B	N	0	2	1	1	2	2	2	X
0_2_1_2_2_1_1	B	C	0	2	1	2	2	1	1	X
0_2_1_2_2_1_2	B	D	0	2	1	2	2	1	2	X
0_2_1_2_2_2_2	B	N	0	2	1	2	2	2	2	X
0_2_2_0_2_1_1	B	D	0	2	2	0	2	1	1	X
0_2_2_0_2_1_2	B	C	0	2	2	0	2	1	2	X
0_2_2_1_2_1_1	B	D	0	2	2	1	2	1	1	X
0_2_2_1_2_1_2	B	C	0	2	2	1	2	1	2	X
0_2_2_1_2_2_2	B	N	0	2	2	1	2	2	2	X
0_2_2_2_2_2_2	B	N	0	2	2	2	2	2	2	X
2_0_0_0_0_0_0	B	N	2	0	0	0	0	0	0	X
2_0_0_1_0_0_0	B	N	2	0	0	1	0	0	0	X
2_0_0_1_0_1_0	B	C	2	0	0	1	0	1	0	X
2_0_0_1_0_1_1	B	D	2	0	0	1	0	1	1	X
2_0_0_2_0_1_0	B	C	2	0	0	2	0	1	0	X
2_0_0_2_0_1_1	B	D	2	0	0	2	0	1	1	X
2_0_1_0_0_0_0	B	N	2	0	1	0	0	0	0	X
2_0_1_0_0_1_0	B	D	2	0	1	0	0	1	0	X
2_0_1_0_0_1_1	B	C	2	0	1	0	0	1	1	X
2_0_1_1_0_0_0	B	N	2	0	1	1	0	0	0	X
2_0_1_1_0_1_0	B	N	2	0	1	1	0	1	0	X
2_0_1_1_0_1_1	B	N	2	0	1	1	0	1	1	X
2_0_1_1_0_2_1	B	N	2	0	1	1	0	2	1	X
2_0_1_2_0_1_0	B	C	2	0	1	2	0	1	0	X
2_0_1_2_0_1_1	B	D	2	0	1	2	0	1	1	X
2_0_1_2_0_2_1	B	N	2	0	1	2	0	2	1	X
2_0_2_0_0_1_0	B	D	2	0	2	0	0	1	0	X
2_0_2_0_0_1_1	B	C	2	0	2	0	0	1	1	X
2_0_2_1_0_1_0	B	D	2	0	2	1	0	1	0	X
2_0_2_1_0_1_1	B	C	2	0	2	1	0	1	1	X
2_0_2_1_0_2_1	B	N	2	0	2	1	0	2	1	X
2_0_2_2_0_2_1	B	N	2	0	2	2	0	2	1	X
2_1_0_0_0_0_0	B	N	2	1	0	0	0	0	0	X
2_1_0_0_2_0_1	B	N	2	1	0	0	2	0	1	X
2_1_0_1_0_0_0	B	N	2	1	0	1	0	0	0	X
2_1_0_1_0_1_0	B	C	2	1	0	1	0	1	0	X
2_1_0_1_0_1_1	B	D	2	1	0	1	0	1	1	X
2_1_0_1_2_0_1	B	N	2	1	0	1	2	0	1	X
2_1_0_1_2_1_1	B	C	2	1	0	1	2	1	1	X
2_1_0_1_2_1_2	B	D	2	1	0	1	2	1	2	X
2_1_0_2_0_1_0	B	C	2	1	0	2	0	1	0	X
2_1_0_2_0_1_1	B	D	2	1	0	2	0	1	1	X
2_1_0_2_2_1_1	B	C	2	1	0	2	2	1	1	X
2_1_0_2_2_1_2	B	D	2	1	0	2	2	1	2	X
2_1_1_0_0_0_0	B	N	2	1	1	0	0	0	0	X
2_1_1_0_0_1_0	B	D	2	1	1	0	0	1	0	X
2_1_1_0_0_1_1	B	C	2	1	1	0	0	1	1	X
2_1_1_0_2_0_1	B	N	2	1	1	0	2	0	1	X
2_1_1_0_2_1_1	B	D	2	1	1	0	2	1	1	X
2_1_1_0_2_1_2	B	C	2	1	1	0	2	1	2	X
2_1_1_1_0_0_0	B	N	2	1	1	1	0	0	0	X
2_1_1_1_0_1_0	B	N	2	1	1	1	0	1	0	X
2_1_1_1_0_1_1	B	N	2	1	1	1	0	1	1	X
2_1_1_1_0_2_1	B	N	2	1	1	1	0	2	1	X
2_1_1_1_2_0_1	B	N	2	1	1	1	2	0	1	X
2_1_1_1_2_1_1	B	N	2	1	1	1	2	1	1	X
2_1_1_1_2_1_2	B	N	2	1	1	1	2	1	2	X
2_1_1_1_2_2_2	B	N	2	1	1	1	2	2	2	X
2_1_1_2_0_1_0	B	C	2	1	1	2	0	1	0	X
2_1_1_2_0_1_1	B	D	2	1	1	2	0	1	1	X
2_1_1_2_0_2_1	B	N	2	1	1	2	0	2	1	X
2_1_1_2_2_1_1	B	C	2	1	1	2	2	1	1	X
2_1_1_2_2_1_2	B	D	2	1	1	2	2	1	2	X
2_1_1_2_2_2_2	B	N	2	1	1	2	2	2	2	X
2_1_2_0_0_1_0	B	D	2	1	2	0	0	1	0	X
2_1_2_0_0_1_1	B	C	2	1	2	0	0	1	1	X
2_1_2_0_2_1_1	B	D	2	1	2	0	2	1	1	X
2_1_2_0_2_1_2	B	C	2	1	2	0	2	1	2	X
2_1_2_1_0_1_0	B	D	2	1	2	1	0	1	0	X
2_1_2_1_0_1_1	B	C	2	1	2	1	0	1	1	X
2_1_2_1_0_2_1	B	N	2	1	2	1	0	2	1	X
2_1_2_1_2_1_1	B	D	2	1	2	1	2	1	1	X
2_1_2_1_2_1_2	B	C	2	1	2	1	2	1	2	X
2_1_2_1_2_2_2	B	N	2	1	2	1	2	2	2	X
2_1_2_2_0_2_1	B	N	2	1	2	2	0	2	1	X
2_1_2_2_2_2_2	B	N	2	1	2	2	2	2	2	X
2_2_0_0_2_0_1	B	N	2	2	0	0	2	0	1	X
2_2_0_1_2_0_1	B	N	2	2	0	1	2	0	1	X
2_2_0_1_2_1_1	B	C	2	2	0	1	2	1	1	X
2_2_0_1_2_1_2	B	D	2	2	0	1	2	1	2	X
2_2_0_2_2_1_1	B	C	2	2	0	2	2	1	1	X
2_2_0_2_2_1_2	B	D	2	2	0	2	2	1	2	X
2_2_1_0_2_0_1	B	N	2	2	1	0	2	0	1	X
2_2_1_0_2_1_1	B	D	2	2	1	0	2	1	1	X
2_2_1_0_2_1_2	B	C	2	2	1	0	2	1	2	X
2_2_1_1_2_0_1	B	N	2	2	1	1	2	0	1	X
2_2_1_1_2_1_1	B	N	2	2	1	1	2	1	1	X
2_2_1_1_2_1_2	B	N	2	2	1	1	2	1	2	X
2_2_1_1_2_2_2	B	N	2	2	1	1	2	2	2	X
2_2_1_2_2_1_1	B	C	2	2	1	2	2	1	1	X
2_2_1_2_2_1_2	B	D	2	2	1	2	2	1	2	X
2_2_1_2_2_2_2	B	N	2	2	1	2	2	2	2	X
2_2_2_0_2_1_1	B	D	2	2	2	0	2	1	1	X
2_2_2_0_2_1_2	B	C	2	2	2	0	2	1	2	X
2_2_2_1_2_1_1	B	D	2	2	2	1	2	1	1	X
2_2_2_1_2_1_2	B	C	2	2	2	1	2	1	2	X
2_2_2_1_2_2_2	B	N	2	2	2	1	2	2	2	X
2_2_2_2_2_2_2	B	N	2	2	2	2	2	2	2	X
